radiant_win,rhero1,rhero2,rhero3,rhero4,rhero5,dhero1,dhero2,dhero3,dhero4,dhero5
0,84,75,69,44,30,5,14,12,94,73
1,35,55,27,54,32,12,74,11,26,81
0,76,98,62,26,93,56,83,30,38,104
0,138,123,86,59,34,6,135,9,2,76
0,13,80,85,93,26,75,7,36,59,44
1,98,31,38,75,93,138,87,47,129,14
0,6,26,5,137,72,84,85,80,93,121
1,70,111,21,49,17,63,75,1,99,65
0,12,64,65,138,71,92,72,120,128,80
0,21,114,36,49,31,128,6,38,111,7
1,14,83,35,90,138,87,44,69,39,78
0,22,70,14,9,83,5,93,34,61,49
0,8,35,64,85,57,67,32,26,59,75
1,73,34,137,107,126,81,25,100,5,53
1,100,42,96,16,75,30,136,36,26,67
0,96,75,30,138,128,41,35,6,86,16
1,100,71,41,83,22,36,55,5,56,7
1,36,69,20,6,88,1,105,62,14,40
1,32,123,31,128,74,8,92,9,86,112
0,32,14,56,120,9,5,44,53,59,7
1,50,84,8,96,14,54,104,1,112,114
1,56,2,137,84,4,102,11,93,101,29
0,34,25,69,64,81,47,33,6,105,35
0,2,44,68,64,74,86,6,88,110,14
0,68,70,84,60,64,123,27,34,93,37
1,29,17,9,48,27,86,69,39,138,30
1,84,75,74,8,97,44,64,102,100,26
1,74,44,31,2,123,36,50,29,1,5
0,96,7,86,71,64,129,27,5,14,101
0,77,23,29,52,85,64,95,27,34,2
0,8,111,81,107,82,99,25,93,105,9
1,14,51,21,11,57,137,7,114,31,74
1,56,75,41,84,104,136,93,5,33,101
1,99,50,75,100,70,30,98,6,21,54
0,93,40,83,112,128,85,32,76,36,48
1,83,28,48,85,54,26,2,72,4,5
0,26,86,97,67,56,23,9,6,36,74
1,37,36,40,47,56,104,64,87,137,6
1,123,45,59,38,86,14,36,70,104,30
1,99,44,74,9,26,5,11,20,104,12
0,62,126,104,41,106,81,86,39,44,9
0,37,16,67,92,2,113,64,20,138,14
1,47,32,8,105,5,44,62,75,69,40
0,104,34,98,6,7,1,9,68,100,8
1,59,42,68,93,88,1,75,76,48,99
1,38,83,56,5,101,40,120,49,102,79
0,120,76,35,58,86,93,14,83,99,27
0,64,86,62,106,1,87,53,78,11,85
0,57,12,32,25,36,62,35,101,69,78
0,74,50,11,1,128,26,72,9,23,55
1,11,9,19,114,84,104,21,135,52,6
0,72,64,54,13,97,85,69,11,9,44
0,37,10,102,17,29,32,14,30,104,100
1,47,97,76,75,44,5,70,39,69,32
0,74,2,26,6,72,11,75,104,56,71
1,14,35,108,8,75,7,6,58,12,51
0,93,74,83,70,101,5,96,20,4,54
0,34,111,93,86,42,71,1,30,69,75
1,91,138,129,25,26,51,49,13,123,114
1,17,71,18,30,51,15,14,26,10,58
0,80,31,18,138,27,113,54,65,68,109
1,11,70,64,128,87,35,1,27,123,49
0,54,44,2,14,45,20,63,85,46,9
1,72,50,59,67,8,76,68,22,44,135
1,87,123,1,96,39,9,137,28,62,44
1,70,19,110,43,120,22,2,18,97,9
1,26,9,73,6,70,14,58,126,128,93
1,64,85,14,15,40,6,114,137,13,87
1,11,135,76,105,14,114,26,6,100,46
0,87,96,9,75,12,54,2,14,36,7
1,111,86,102,106,70,81,77,119,21,87
1,43,40,67,30,55,11,42,5,138,32
1,93,32,137,31,17,14,41,62,87,9
0,121,14,86,123,120,25,8,16,30,126
0,18,11,30,60,86,5,51,26,25,8
1,36,79,69,1,75,31,28,5,46,93
1,104,101,126,6,83,85,51,39,32,36
1,68,96,46,44,31,11,108,1,27,100
0,88,67,17,102,12,54,57,61,101,29
0,14,35,19,95,41,29,90,126,64,67
1,19,6,53,27,11,97,70,35,85,49
1,56,22,84,29,11,104,123,53,1,27
0,19,102,31,93,137,112,72,60,76,1
1,126,26,29,63,48,14,86,21,19,44
1,120,30,6,105,108,14,26,9,25,77
0,32,71,50,94,29,48,5,104,100,27
0,44,41,91,58,83,114,95,28,30,63
0,35,31,138,104,86,18,46,3,101,23
1,93,37,28,8,30,85,54,100,68,14
1,50,41,74,95,5,106,47,71,112,1
0,14,12,104,51,26,34,128,52,27,44
1,100,76,31,35,55,23,50,70,49,5
0,82,32,9,98,84,44,11,31,30,7
0,74,8,82,138,85,69,30,31,95,6
1,64,74,73,2,67,138,95,106,26,5
0,123,70,98,22,30,126,84,9,8,16
0,63,57,8,15,104,86,91,62,30,138
0,101,8,100,137,128,28,42,22,23,87
1,104,8,100,105,26,35,34,14,29,106
0,30,74,54,81,9,121,69,6,20,106
0,38,58,40,39,6,51,137,35,29,84
0,31,114,35,8,80,135,9,22,81,90
1,22,57,97,6,17,114,26,99,31,67
1,12,27,121,14,25,31,59,41,32,60
1,34,96,75,86,56,9,26,104,74,1
0,74,85,11,105,104,3,2,87,14,35
1,7,2,98,74,63,97,30,41,81,14
1,74,49,75,42,90,104,11,119,5,8
0,114,74,9,106,49,102,35,12,27,5
1,6,137,102,13,22,38,93,59,68,107
0,46,37,105,75,98,10,11,35,16,5
0,41,68,96,114,85,51,48,11,64,128
1,14,52,54,36,72,8,40,2,49,68
0,114,27,82,98,71,32,36,102,21,100
1,14,6,31,98,17,26,44,104,113,7
1,87,1,114,14,49,128,13,54,12,123
1,59,20,48,42,85,69,8,101,96,67
0,9,27,81,129,96,104,23,50,100,93
0,104,86,26,25,41,23,95,76,13,5
0,53,25,83,75,97,14,9,138,40,95
0,101,59,52,28,94,12,93,63,43,97
1,48,26,49,8,5,29,47,9,31,62
1,63,83,114,64,27,25,89,87,60,69
0,14,11,107,62,67,69,53,101,110,99
0,93,51,137,39,62,4,81,26,13,128
