radiant_win,rhero1,rhero2,rhero3,rhero4,rhero5,dhero1,dhero2,dhero3,dhero4,dhero5
0,48,35,14,5,39,30,77,46,105,96
0,61,25,3,93,41,74,28,9,45,27
0,68,106,86,23,97,74,7,101,67,26
0,30,20,1,74,46,75,100,22,21,72
1,56,55,37,39,14,22,26,104,85,21
0,11,50,72,87,55,75,85,36,21,9
1,73,14,97,33,67,98,74,70,44,87
1,84,7,104,18,11,21,12,54,83,71
1,93,67,91,73,100,14,42,94,36,92
0,42,100,62,64,76,21,69,39,26,1
0,11,32,7,42,68,100,69,86,47,18
1,67,7,68,93,74,86,64,12,39,73
1,1,39,7,28,9,26,31,21,48,55
1,50,31,109,93,25,11,14,9,27,70
0,86,16,51,1,22,20,14,104,96,21
0,11,5,18,55,20,28,19,31,112,47
0,93,11,107,25,29,46,55,5,67,21
1,100,30,10,25,75,104,50,97,46,21
1,61,11,19,7,25,91,71,93,95,21
0,55,39,57,53,8,9,86,93,30,44
1,13,9,44,14,112,87,110,106,1,68
0,36,14,73,75,102,39,67,98,59,9
0,106,11,59,68,100,12,69,21,38,9
0,39,69,21,87,8,1,40,93,52,71
0,33,8,7,34,39,14,68,100,81,67
0,93,27,10,74,9,47,21,73,83,69
0,1,22,4,85,36,67,51,20,75,21
1,3,28,100,93,106,39,31,56,62,69
1,67,28,112,33,39,21,37,90,14,38
1,4,102,44,84,36,45,93,2,46,7
1,12,64,75,6,106,7,88,23,8,94
1,15,104,106,69,75,5,35,82,71,32
1,69,86,21,85,5,75,104,36,106,50
0,31,1,107,62,11,20,79,78,95,32
0,55,104,13,73,63,9,72,21,96,36
1,112,8,60,26,82,69,7,106,104,86
0,62,74,73,17,72,32,1,11,42,26
1,1,22,32,21,14,41,31,59,104,2
0,14,74,8,37,47,57,22,36,104,46
1,69,73,85,9,5,93,14,55,100,62
1,8,71,11,87,100,74,32,54,69,68
1,106,69,97,26,31,98,91,22,86,81
0,8,112,26,51,37,69,100,21,106,73
0,34,53,70,42,84,74,67,112,102,109
0,93,21,19,26,91,87,8,27,39,41
0,46,62,73,39,87,32,68,8,74,71
1,21,62,3,8,78,71,67,25,51,37
0,93,69,25,73,50,1,26,7,11,14
0,69,42,70,7,39,19,28,90,75,34
1,28,75,2,22,8,21,73,72,33,50
0,74,59,11,9,69,46,64,28,42,84
0,69,23,37,106,74,46,57,53,5,8
0,63,73,39,90,69,25,14,21,23,1
0,106,7,50,112,77,90,11,100,12,2
1,98,9,22,80,73,84,42,21,39,29
0,74,52,11,85,42,87,21,55,12,75
1,93,51,104,86,21,42,9,75,39,14
1,15,87,22,6,19,98,29,1,35,75
0,21,28,1,86,9,42,39,68,112,59
0,40,73,78,93,29,69,68,21,44,86
1,39,9,93,26,59,97,40,14,44,73
1,8,9,51,22,39,86,44,50,100,72
1,19,53,28,112,7,8,30,27,18,69
1,110,36,25,63,104,90,19,57,93,53
1,101,1,91,8,73,17,107,19,86,104
1,74,72,71,45,41,30,93,106,100,62
1,59,46,71,109,20,1,32,31,21,37
0,100,11,107,59,3,23,8,46,62,64
0,8,50,73,84,21,100,93,62,112,11
0,11,63,1,30,53,21,39,33,86,67
0,19,68,18,83,11,22,35,86,73,85
1,7,21,20,54,105,19,25,97,22,71
1,28,9,31,112,21,106,72,100,3,107
1,39,79,46,85,42,21,5,67,100,26
0,110,30,72,75,87,55,7,11,42,112
1,7,98,27,47,41,11,19,60,30,12
1,14,28,57,55,8,86,69,93,34,33
1,72,7,39,14,69,47,106,51,12,5
0,81,85,84,34,53,62,11,47,69,75
0,13,1,30,25,56,44,21,50,104,34
1,51,85,72,37,15,8,70,64,34,29
0,97,19,25,44,34,36,53,8,40,104
1,28,50,74,19,31,62,21,18,60,81
0,96,105,101,21,75,44,11,45,14,69
1,54,102,21,69,47,39,97,112,11,23
1,69,87,28,46,25,39,18,64,33,16
1,13,93,33,96,25,89,79,19,9,39
1,88,8,43,17,100,25,104,36,39,1
1,83,14,75,16,19,39,20,69,18,21
1,80,21,8,10,25,19,79,50,55,68
0,86,55,47,11,62,112,32,100,46,42
1,30,73,71,72,29,38,49,21,4,39
1,58,88,67,16,87,97,59,49,19,25
0,7,98,41,30,74,12,90,32,55,17
1,67,23,9,5,85,21,7,27,74,42
0,54,14,57,35,94,75,5,22,85,81
0,68,47,52,100,1,32,36,46,75,22
0,93,26,46,39,25,79,67,69,82,31
1,7,11,29,73,87,42,9,86,74,21
1,23,3,93,49,7,50,74,70,2,105
1,70,91,46,100,110,26,39,11,7,6
1,39,28,109,32,69,88,73,44,62,57
1,85,28,86,21,42,41,57,11,36,99
0,48,92,50,11,59,87,51,109,25,20
